ensembl_gene_id,external_gene_name,gene_biotype,chromosome_name,start_position,end_position,strand,description
ENSG00000160867,FGFR4,protein_coding,5,177086456,177098151,1,fibroblast growth factor receptor 4 [Source:HGNC Symbol;Acc:HGNC:3691]
ENSG00000164086,DUSP7,protein_coding,3,52048919,52056571,-1,dual specificity phosphatase 7 [Source:HGNC Symbol;Acc:HGNC:3073]
ENSG00000167861,HID1,protein_coding,17,74950741,74973166,-1,HID1 domain containing [Source:HGNC Symbol;Acc:HGNC:15736]
ENSG00000171116,HSFX1,protein_coding,X,149774068,149776867,1,"heat shock transcription factor family, X-linked 1 [Source:HGNC Symbol;Acc:HGNC:29603]"
ENSG00000172301,COPRS,protein_coding,17,31851871,31859291,-1,coordinator of PRMT5 and differentiation stimulator [Source:HGNC Symbol;Acc:HGNC:28848]
ENSG00000172717,GARIN2,protein_coding,14,67189393,67228550,1,golgi associated RAB2 interactor family member 2 [Source:HGNC Symbol;Acc:HGNC:20101]
ENSG00000173402,DAG1,protein_coding,3,49468649,49535619,1,dystroglycan 1 [Source:HGNC Symbol;Acc:HGNC:2666]
ENSG00000175137,SH3BP5L,protein_coding,1,248810446,248826522,-1,SH3 binding domain protein 5 like [Source:HGNC Symbol;Acc:HGNC:29360]
ENSG00000176239,OR51B6,protein_coding,11,5351508,5352446,1,olfactory receptor family 51 subfamily B member 6 [Source:HGNC Symbol;Acc:HGNC:19600]
ENSG00000179930,ZNF648,protein_coding,1,182054570,182061712,-1,zinc finger protein 648 [Source:HGNC Symbol;Acc:HGNC:18190]
ENSG00000182759,MAFA,protein_coding,8,143419182,143430732,-1,MAF bZIP transcription factor A [Source:HGNC Symbol;Acc:HGNC:23145]
ENSG00000184677,ZBTB40,protein_coding,1,22428838,22531157,1,zinc finger and BTB domain containing 40 [Source:HGNC Symbol;Acc:HGNC:29045]
ENSG00000187257,RSBN1L,protein_coding,7,77696459,77783022,1,round spermatid basic protein 1 like [Source:HGNC Symbol;Acc:HGNC:24765]
ENSG00000189269,DRICH1,protein_coding,22,23608452,23632321,-1,aspartate rich 1 [Source:HGNC Symbol;Acc:HGNC:28031]
ENSG00000199158,MIR96,miRNA,7,129774692,129774769,-1,microRNA 96 [Source:HGNC Symbol;Acc:HGNC:31648]
ENSG00000199350,RNA5SP432,rRNA_pseudogene,16,84039918,84040033,-1,"RNA, 5S ribosomal pseudogene 432 [Source:HGNC Symbol;Acc:HGNC:43332]"
ENSG00000199885,RNU6-330P,snRNA,X,74680053,74680159,1,"RNA, U6 small nuclear 330, pseudogene [Source:HGNC Symbol;Acc:HGNC:47293]"
ENSG00000204532,ZSCAN5C,protein_coding,19,56202273,56209461,1,zinc finger and SCAN domain containing 5C [Source:HGNC Symbol;Acc:HGNC:34294]
ENSG00000204612,FOXB2,protein_coding,9,77018706,77022372,1,forkhead box B2 [Source:HGNC Symbol;Acc:HGNC:23315]
ENSG00000204711,CFAP95,protein_coding,9,69820815,69906655,1,cilia and flagella associated protein 95 [Source:HGNC Symbol;Acc:HGNC:31422]
ENSG00000207089,RNU6-921P,snRNA,14,68735922,68736028,-1,"RNA, U6 small nuclear 921, pseudogene [Source:HGNC Symbol;Acc:HGNC:47884]"
ENSG00000207365,Y_RNA,misc_RNA,12,93021606,93021712,1,Y RNA [Source:RFAM;Acc:RF00019]
ENSG00000212455,,snoRNA,2,18040606,18040733,-1,
ENSG00000222205,RNA5SP266,rRNA_pseudogene,8,57126655,57126762,-1,"RNA, 5S ribosomal pseudogene 266 [Source:HGNC Symbol;Acc:HGNC:43166]"
ENSG00000224384,,lncRNA,6,96785137,96795821,1,novel transcript
ENSG00000224751,SHMT1P1,processed_pseudogene,1,43850300,43851611,-1,SHMT1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:10851]
ENSG00000225731,PDE9A-AS1,lncRNA,21,42733593,42741820,-1,PDE9A antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40440]
ENSG00000226047,,lncRNA,9,107117459,107121705,-1,novel transcript
ENSG00000228051,WBP11P3,processed_pseudogene,X,80560146,80562054,1,WBP11 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:54789]
ENSG00000228229,,lncRNA,1,13324039,13324518,1,novel transcript
ENSG00000228495,LINC01013,lncRNA,6,131901797,132169995,1,long intergenic non-protein coding RNA 1013 [Source:HGNC Symbol;Acc:HGNC:48987]
ENSG00000231470,HMGB3P2,processed_pseudogene,20,36076018,36076601,-1,high mobility group box 3 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:16574]
ENSG00000231494,RPL21P35,processed_pseudogene,2,231559903,231560364,1,ribosomal protein L21 pseudogene 35 [Source:HGNC Symbol;Acc:HGNC:36900]
ENSG00000231793,DOC2GP,transcribed_unitary_pseudogene,11,67612837,67616257,-1,"double C2 domain gamma, pseudogene [Source:HGNC Symbol;Acc:HGNC:37962]"
ENSG00000232296,,processed_pseudogene,1,202028606,202028692,1,"LSM3 homolog, U6 small nuclear RNA associated (S. cerevisiae) (LSM3) pseudogene"
ENSG00000232631,MTND2P23,processed_pseudogene,2,211777206,211777856,1,MT-ND2 pseudogene 23 [Source:HGNC Symbol;Acc:HGNC:42124]
ENSG00000232701,RPL21P108,processed_pseudogene,13,74377163,74377951,-1,ribosomal protein L21 pseudogene 108 [Source:HGNC Symbol;Acc:HGNC:35496]
ENSG00000234001,,processed_pseudogene,7,117586207,117586416,-1,"dynein, cytoplasmic, light polypeptide 1 (DNCL1) pseudogene"
ENSG00000235013,COX20P2,processed_pseudogene,2,230957593,230957950,1,COX20 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:43772]
ENSG00000237919,LRRC7-AS1,lncRNA,1,70013982,70031222,-1,LRRC7 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40843]
ENSG00000240038,AMY2B,protein_coding,1,103553815,103579534,1,amylase alpha 2B [Source:HGNC Symbol;Acc:HGNC:478]
ENSG00000243296,,lncRNA,3,99331402,99505508,1,novel transcript
ENSG00000248455,LINC02217,lncRNA,5,17403790,17443619,1,long intergenic non-protein coding RNA 2217 [Source:HGNC Symbol;Acc:HGNC:53084]
ENSG00000250286,,lncRNA,17,50525520,50538761,-1,"novel transcript, antisense to EPN3"
ENSG00000251278,,processed_pseudogene,4,10292195,10292708,-1,"pseudogene similar to part of myxovirus (influenza virus) resistance 1, interferon-inducible protein p78 (mouse) (MX1)"
ENSG00000251585,,processed_pseudogene,5,86402465,86402960,1,"ash2 (absent, small, or homeotic)-like (Drosophila) (ASH2L) pseudogene"
ENSG00000251896,SNORD116-27,snoRNA,15,25101575,25101666,1,"small nucleolar RNA, C/D box 116-27 [Source:HGNC Symbol;Acc:HGNC:33093]"
ENSG00000251916,RNU1-61P,snRNA,6,32549940,32550090,-1,"RNA, U1 small nuclear 61, pseudogene [Source:HGNC Symbol;Acc:HGNC:48403]"
ENSG00000252072,RNA5SP320,rRNA_pseudogene,10,73706490,73706613,1,"RNA, 5S ribosomal pseudogene 320 [Source:HGNC Symbol;Acc:HGNC:43220]"
ENSG00000253125,EGR3-AS1,lncRNA,8,22690150,22798616,1,EGR3 and PEBP4 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:58186]
ENSG00000253270,CSGALNACT1-AS1,lncRNA,8,19678539,19689562,1,CSGALNACT1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:58187]
ENSG00000254475,OR2AT1P,unprocessed_pseudogene,11,75131138,75131880,-1,olfactory receptor family 2 subfamily AT member 1 pseudogene [Source:HGNC Symbol;Acc:HGNC:15145]
ENSG00000254954,SLC2A13P1,processed_pseudogene,8,60141821,60142142,1,SLC2A13 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:48929]
ENSG00000255365,,processed_pseudogene,8,14690382,14690619,1,"diazepam binding inhibitor (GABA receptor modulator, acyl-CoA binding protein) (DBI) pseudogene"
ENSG00000255426,,lncRNA,11,45733994,45735766,-1,novel transcript
ENSG00000256663,,processed_pseudogene,12,20551590,20553012,1,ubiquitin-like with PHD and ring finger domains 1 (UHRF1) pseudogene
ENSG00000257103,LSM14A,protein_coding,19,34172426,34229302,1,LSM14A mRNA processing body assembly factor [Source:HGNC Symbol;Acc:HGNC:24489]
ENSG00000258010,,lncRNA,15,80433795,80445152,-1,"novel transcript, antisense to ARNT2"
ENSG00000258098,LINC02286,lncRNA,14,25124467,25156314,-1,long intergenic non-protein coding RNA 2286 [Source:HGNC Symbol;Acc:HGNC:53203]
ENSG00000258506,,processed_pseudogene,14,84951274,84951373,1,ribosomal protein L13a (RPL13A) pseudogene
ENSG00000258654,,lncRNA,15,20344736,20359175,1,novel transcript
ENSG00000258682,,lncRNA,14,58264662,58269681,1,"novel transcript, sense overlapping PSMA3"
ENSG00000258933,LINC02279,lncRNA,14,94960277,94962976,-1,long intergenic non-protein coding RNA 2279 [Source:HGNC Symbol;Acc:HGNC:53195]
ENSG00000259198,,lncRNA,15,40312615,40316634,1,"novel transcript, antisense to PLCB2"
ENSG00000259252,,lncRNA,15,70191799,70198509,-1,novel transcript
ENSG00000259841,LINC01566,lncRNA,16,35363412,35391722,1,long intergenic non-protein coding RNA 1566 [Source:HGNC Symbol;Acc:HGNC:27555]
ENSG00000261025,,lncRNA,1,24968421,24971606,-1,novel transcript
ENSG00000261275,,lncRNA,7,56493124,56497285,1,novel transcript
ENSG00000263857,MIR4729,miRNA,17,59366083,59366154,1,microRNA 4729 [Source:HGNC Symbol;Acc:HGNC:41585]
ENSG00000264330,MIR5186,miRNA,3,151565876,151565995,-1,microRNA 5186 [Source:HGNC Symbol;Acc:HGNC:43459]
ENSG00000271002,,transcribed_processed_pseudogene,17,8199123,8199437,-1,ribosomal protein L11 (RPL11) pseudogene
ENSG00000271379,,processed_pseudogene,12,42069935,42070625,-1,"family with sequence similarity 173, member B (FAM173B) pseudogene"
ENSG00000271583,,processed_pseudogene,2,146833501,146834038,-1,glioblastoma amplified sequence (GBAS) pseudogene
ENSG00000271710,NDUFA8P1,processed_pseudogene,10,74641410,74641776,-1,NADH:ubiquinone oxidoreductase subunit A8 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:52264]
ENSG00000271723,MROH7-TTC4,protein_coding,1,54641786,54742308,1,MROH7-TTC4 readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:49180]
ENSG00000272129,,lncRNA,6,80355424,80356859,1,novel transcript
ENSG00000274598,,lncRNA,12,108833721,108834384,-1,"novel transcript, sense intronic to SSH1"
ENSG00000275036,MIR8086,miRNA,10,28289258,28289350,-1,microRNA 8086 [Source:HGNC Symbol;Acc:HGNC:50107]
ENSG00000276859,,misc_RNA,20,58842030,58842132,1,
ENSG00000277128,,lncRNA,14,19124807,19175530,-1,novel transcript
ENSG00000278319,,unprocessed_pseudogene,X,55101637,55102026,-1,"family with sequence similarity 156, member A (FAM156A) pseudogene"
ENSG00000279409,,TEC,15,40258501,40260370,1,TEC
ENSG00000283212,MIR642B,miRNA,19,45674932,45675008,-1,microRNA 642b [Source:HGNC Symbol;Acc:HGNC:38902]
ENSG00000073849,ST6GAL1,protein_coding,3,186930325,187078932,1,"ST6 beta-galactoside alpha-2,6-sialyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10860]"
ENSG00000084070,SMAP2,protein_coding,1,40344850,40423326,1,small ArfGAP2 [Source:HGNC Symbol;Acc:HGNC:25082]
ENSG00000086666,ZFAND6,protein_coding,15,80058894,80140292,1,zinc finger AN1-type containing 6 [Source:HGNC Symbol;Acc:HGNC:30164]
ENSG00000099814,CEP170B,protein_coding,14,104864541,104896770,1,centrosomal protein 170B [Source:HGNC Symbol;Acc:HGNC:20362]
ENSG00000102539,MLNR,protein_coding,13,49220118,49225201,1,motilin receptor [Source:HGNC Symbol;Acc:HGNC:4495]
ENSG00000114268,PFKFB4,protein_coding,3,48517684,48562015,-1,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4 [Source:HGNC Symbol;Acc:HGNC:8875]"
ENSG00000114541,FRMD4B,protein_coding,3,69168782,69542583,-1,FERM domain containing 4B [Source:HGNC Symbol;Acc:HGNC:24886]
ENSG00000116350,SRSF4,protein_coding,1,29147743,29181922,-1,serine and arginine rich splicing factor 4 [Source:HGNC Symbol;Acc:HGNC:10786]
ENSG00000116473,RAP1A,protein_coding,1,111542218,111716691,1,"RAP1A, member of RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9855]"
ENSG00000131386,GALNT15,protein_coding,3,16174573,16231992,1,polypeptide N-acetylgalactosaminyltransferase 15 [Source:HGNC Symbol;Acc:HGNC:21531]
ENSG00000135148,TRAFD1,protein_coding,12,112125514,112153610,1,TRAF-type zinc finger domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24808]
ENSG00000140575,IQGAP1,protein_coding,15,90388207,90502239,1,IQ motif containing GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:6110]
ENSG00000148690,FRA10AC1,protein_coding,10,93667883,93703294,-1,FRA10A associated CGG repeat 1 [Source:HGNC Symbol;Acc:HGNC:1162]
ENSG00000149089,APIP,protein_coding,11,34853094,34916520,-1,APAF1 interacting protein [Source:HGNC Symbol;Acc:HGNC:17581]
ENSG00000149187,CELF1,protein_coding,11,47465933,47565569,-1,CUGBP Elav-like family member 1 [Source:HGNC Symbol;Acc:HGNC:2549]
ENSG00000150347,ARID5B,protein_coding,10,61901684,62096944,1,AT-rich interaction domain 5B [Source:HGNC Symbol;Acc:HGNC:17362]
ENSG00000156298,TSPAN7,protein_coding,X,38561498,38689249,1,tetraspanin 7 [Source:HGNC Symbol;Acc:HGNC:11854]
ENSG00000157693,TMEM268,protein_coding,9,114611206,114646422,1,transmembrane protein 268 [Source:HGNC Symbol;Acc:HGNC:24513]
ENSG00000160072,ATAD3B,protein_coding,1,1471756,1497848,1,ATPase family AAA domain containing 3B [Source:HGNC Symbol;Acc:HGNC:24007]
ENSG00000160094,ZNF362,protein_coding,1,33256359,33300719,1,zinc finger protein 362 [Source:HGNC Symbol;Acc:HGNC:18079]
ENSG00000162897,FCAMR,protein_coding,1,206957965,206970625,-1,Fc alpha and mu receptor [Source:HGNC Symbol;Acc:HGNC:24692]
ENSG00000164849,GPR146,protein_coding,7,1044537,1059269,1,G protein-coupled receptor 146 [Source:HGNC Symbol;Acc:HGNC:21718]
ENSG00000169851,PCDH7,protein_coding,4,30720369,31146805,1,protocadherin 7 [Source:HGNC Symbol;Acc:HGNC:8659]
ENSG00000170949,ZNF160,protein_coding,19,53064884,53103434,-1,zinc finger protein 160 [Source:HGNC Symbol;Acc:HGNC:12948]
ENSG00000174442,ZWILCH,protein_coding,15,66504959,66550130,1,zwilch kinetochore protein [Source:HGNC Symbol;Acc:HGNC:25468]
ENSG00000180424,DEFB123,protein_coding,20,31440632,31450257,1,defensin beta 123 [Source:HGNC Symbol;Acc:HGNC:18103]
ENSG00000181350,LRRC75A,protein_coding,17,16441577,16492237,-1,leucine rich repeat containing 75A [Source:HGNC Symbol;Acc:HGNC:32403]
ENSG00000189007,ADAT2,protein_coding,6,143422832,143450695,-1,adenosine deaminase tRNA specific 2 [Source:HGNC Symbol;Acc:HGNC:21172]
ENSG00000199223,Y_RNA,misc_RNA,19,6572956,6573057,-1,Y RNA [Source:RFAM;Acc:RF00019]
ENSG00000199815,,snoRNA,3,8931506,8931631,1,
ENSG00000200222,U3,snoRNA,3,64071807,64072019,-1,Small nucleolar RNA U3 [Source:RFAM;Acc:RF00012]
ENSG00000201492,RNA5SP78,rRNA_pseudogene,1,229549905,229550022,1,"RNA, 5S ribosomal pseudogene 78 [Source:HGNC Symbol;Acc:HGNC:42855]"
ENSG00000203825,,unprocessed_pseudogene,1,143541768,143572834,1,phosphodiesterase 4D interacting protein (myomegalin) (PDE4DIP) pseudogene
ENSG00000204370,SDHD,protein_coding,11,112086824,112120016,1,succinate dehydrogenase complex subunit D [Source:HGNC Symbol;Acc:HGNC:10683]
ENSG00000206663,Y_RNA,misc_RNA,X,19985058,19985159,-1,Y RNA [Source:RFAM;Acc:RF00019]
ENSG00000206701,RNU6-1040P,snRNA,8,84665759,84665865,-1,"RNA, U6 small nuclear 1040, pseudogene [Source:HGNC Symbol;Acc:HGNC:48003]"
ENSG00000212425,RNA5SP105,rRNA_pseudogene,2,137512098,137512210,-1,"RNA, 5S ribosomal pseudogene 105 [Source:HGNC Symbol;Acc:HGNC:42903]"
ENSG00000213483,NDUFAF4P2,processed_pseudogene,7,93844789,93845308,1,NADH:ubiquinone oxidoreductase complex assembly factor 4 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:44541]
ENSG00000213599,SLX1A-SULT1A3,lncRNA,16,30193892,30204310,1,SLX1A-SULT1A3 readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:44437]
ENSG00000214694,ARHGEF33,protein_coding,2,38889875,38975454,1,Rho guanine nucleotide exchange factor 33 [Source:HGNC Symbol;Acc:HGNC:37252]
ENSG00000221760,MIR548J,miRNA,22,26555212,26555323,-1,microRNA 548j [Source:HGNC Symbol;Acc:HGNC:35276]
ENSG00000224100,,lncRNA,21,42964639,42965363,-1,"novel transcript, antisense to PKNOX1"
ENSG00000224311,WDTC1-DT,lncRNA,1,27229106,27234514,-1,WDTC1 divergent transcript [Source:HGNC Symbol;Acc:HGNC:55858]
ENSG00000224430,MKRN5P,processed_pseudogene,X,74161062,74162528,-1,"makorin ring finger protein 5, pseudogene [Source:HGNC Symbol;Acc:HGNC:7117]"
ENSG00000224548,,processed_pseudogene,X,127796124,127796733,1,Huntingtin interacting protein K (HYPK) pseudogene
ENSG00000224972,,lncRNA,9,6902670,6978859,1,novel transcript
ENSG00000224988,,processed_pseudogene,9,129883693,129884170,-1,60S ribosomal protein L34 (RPL34) pseudogene
ENSG00000225437,PACRG-AS2,lncRNA,6,163042557,163054161,-1,PACRG antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:40871]
ENSG00000230673,PABPC1P3,processed_pseudogene,X,74583088,74583546,-1,poly(A) binding protein cytoplasmic 1 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:8560]
ENSG00000231317,,transcribed_unprocessed_pseudogene,7,55656768,55678490,-1,coiled-coil domain containing 144C (CCDC144C) pseudogene
ENSG00000235615,,lncRNA,2,131964731,131979873,-1,novel transcript
ENSG00000235990,RPL23AP20,processed_pseudogene,1,241916123,241916543,1,ribosomal protein L23a pseudogene 20 [Source:HGNC Symbol;Acc:HGNC:36622]
ENSG00000237024,RPL21P33,processed_pseudogene,2,60852260,60852743,1,ribosomal protein L21 pseudogene 33 [Source:HGNC Symbol;Acc:HGNC:36686]
ENSG00000237129,MTCYBP34,processed_pseudogene,22,36175857,36176526,1,MT-CYB pseudogene 34 [Source:HGNC Symbol;Acc:HGNC:52302]
ENSG00000237153,,lncRNA,9,16917511,17114128,1,novel transcript
ENSG00000237666,,transcribed_unprocessed_pseudogene,2,106470799,106477669,-1,pseudogene similar to part of anaphase promoting complex subunit 1 ANAPC1
ENSG00000237941,KCNQ1DN,lncRNA,11,2870033,2872105,1,KCNQ1 downstream neighbor [Source:HGNC Symbol;Acc:HGNC:13335]
ENSG00000238257,,unprocessed_pseudogene,21,30762682,30762882,-1,novel keratin associated protein 21 (KRTAP21) family pseudogene
ENSG00000238685,,snoRNA,16,12297197,12297323,-1,
ENSG00000238795,SCARNA12,snoRNA,12,6967337,6967606,-1,small Cajal body-specific RNA 12 [Source:HGNC Symbol;Acc:HGNC:32569]
ENSG00000240306,RN7SL100P,misc_RNA,9,26895678,26895970,1,"RNA, 7SL, cytoplasmic 100, pseudogene [Source:HGNC Symbol;Acc:HGNC:46116]"
ENSG00000240793,UBA52P8,processed_pseudogene,16,48334471,48334854,-1,ubiquitin A-52 residue ribosomal protein fusion product 1 pseudogene 8 [Source:HGNC Symbol;Acc:HGNC:35625]
ENSG00000242114,MTFP1,protein_coding,22,30425623,30429054,1,mitochondrial fission process 1 [Source:HGNC Symbol;Acc:HGNC:26945]
ENSG00000244006,RN7SL799P,misc_RNA,X,64210691,64210988,1,"RNA, 7SL, cytoplasmic 799, pseudogene [Source:HGNC Symbol;Acc:HGNC:46815]"
ENSG00000244486,SCARF2,protein_coding,22,20424584,20437944,-1,scavenger receptor class F member 2 [Source:HGNC Symbol;Acc:HGNC:19869]
ENSG00000250615,,lncRNA,5,77073881,77074520,1,novel transcript
ENSG00000253370,,unprocessed_pseudogene,5,156458398,156458507,-1,pseudogene similar to part of WW and C2 domain containing 2 WWC2
ENSG00000253955,LINC02995,lncRNA,5,173578275,173585068,1,long intergenic non-protein coding RNA 2995 [Source:HGNC Symbol;Acc:HGNC:27744]
ENSG00000254835,RNF185-AS1,lncRNA,22,31205264,31205616,-1,RNF185 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41161]
ENSG00000255251,PRR23D1,protein_coding,8,7539627,7542450,1,proline rich 23 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:49420]
ENSG00000256028,,lncRNA,12,122975320,122982907,1,novel transcript
ENSG00000256087,ZNF432,protein_coding,19,52031378,52095738,-1,zinc finger protein 432 [Source:HGNC Symbol;Acc:HGNC:20810]
ENSG00000259001,,lncRNA,14,20342976,20343685,-1,ribonuclease P RNA component H1
ENSG00000259366,,lncRNA,8,29055929,29057395,1,"novel transcript, sense intronic to HMBOX1"
ENSG00000259697,,lncRNA,15,62193542,62222911,-1,novel transcript
ENSG00000260514,,processed_pseudogene,16,29624517,29624825,1,ribosomal protein S10 (RPS10) pseudogene
ENSG00000261105,LMO7-AS1,lncRNA,13,75604700,75636023,-1,LMO7 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:50277]
ENSG00000261213,,lncRNA,1,75122518,75123927,-1,novel transcript
ENSG00000261329,,lncRNA,16,27678940,27718883,-1,"novel transcript, antisense to a novel protein"
ENSG00000261673,,lncRNA,16,72224565,72225144,-1,novel transcript
ENSG00000261691,,lncRNA,16,547185,553847,-1,"novel transcript, antisense to SOLH"
ENSG00000263396,,processed_pseudogene,18,1357651,1357942,1,LIM domain kinase 1 (LIMK1) pseudogene
ENSG00000266305,MIR4518,miRNA,16,30503919,30504001,1,microRNA 4518 [Source:HGNC Symbol;Acc:HGNC:41809]
ENSG00000266530,MIR4318,miRNA,18,37657135,37657215,1,microRNA 4318 [Source:HGNC Symbol;Acc:HGNC:38333]
ENSG00000267774,,lncRNA,18,59696459,59698111,1,"novel transcript, antisense to CCBE1"
ENSG00000268605,,lncRNA,19,42424384,42425071,-1,novel transcript
ENSG00000268643,,protein_coding,19,42234583,42255132,-1,novel protein
ENSG00000272991,,lncRNA,21,39184469,39184899,1,"novel transcript, antisense to BRWD1"
ENSG00000273003,ARL2-SNX15,protein_coding,11,65014182,65040570,1,ARL2-SNX15 readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:49197]
ENSG00000273950,Metazoa_SRP,misc_RNA,2,127856890,127857147,1,Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]
ENSG00000276678,,misc_RNA,3,10287413,10287482,1,
ENSG00000277142,LINC00235,lncRNA,16,525155,527407,-1,long intergenic non-protein coding RNA 235 [Source:HGNC Symbol;Acc:HGNC:14138]
ENSG00000278619,MRM1,protein_coding,17,36601583,36608971,1,mitochondrial rRNA methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:26202]
ENSG00000278725,,transcribed_unprocessed_pseudogene,16,28602340,28604519,1,coiled-coil domain containing 101 (CCDC101) pseudogene
ENSG00000279601,,TEC,X,119693568,119696059,1,TEC
ENSG00000279983,,protein_coding,5,141223372,141245861,1,novel protein
ENSG00000009830,POMT2,protein_coding,14,77274956,77320883,-1,protein O-mannosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:19743]
ENSG00000010072,SPRTN,protein_coding,1,231337104,231355023,1,SprT-like N-terminal domain [Source:HGNC Symbol;Acc:HGNC:25356]
ENSG00000065618,COL17A1,protein_coding,10,104030753,104086225,-1,collagen type XVII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2194]
ENSG00000095970,TREM2,protein_coding,6,41158488,41163186,-1,triggering receptor expressed on myeloid cells 2 [Source:HGNC Symbol;Acc:HGNC:17761]
ENSG00000100344,PNPLA3,protein_coding,22,43923781,43964488,1,"patatin like domain 3, 1-acylglycerol-3-phosphate O-acyltransferase  [Source:HGNC Symbol;Acc:HGNC:18590]"
ENSG00000102890,ELMO3,protein_coding,16,67199111,67204029,1,engulfment and cell motility 3 [Source:HGNC Symbol;Acc:HGNC:17289]
ENSG00000108946,PRKAR1A,protein_coding,17,68511780,68551319,1,protein kinase cAMP-dependent type I regulatory subunit alpha [Source:HGNC Symbol;Acc:HGNC:9388]
ENSG00000114770,ABCC5,protein_coding,3,183919934,184017939,-1,ATP binding cassette subfamily C member 5 [Source:HGNC Symbol;Acc:HGNC:56]
ENSG00000130958,SLC35D2,protein_coding,9,96313444,96383711,-1,solute carrier family 35 member D2 [Source:HGNC Symbol;Acc:HGNC:20799]
ENSG00000135775,COG2,protein_coding,1,230642464,230693985,1,component of oligomeric golgi complex 2 [Source:HGNC Symbol;Acc:HGNC:6546]
ENSG00000138135,CH25H,protein_coding,10,89205629,89207317,-1,cholesterol 25-hydroxylase [Source:HGNC Symbol;Acc:HGNC:1907]
ENSG00000153551,CMTM7,protein_coding,3,32391686,32483067,1,CKLF like MARVEL transmembrane domain containing 7 [Source:HGNC Symbol;Acc:HGNC:19178]
